Risk ID,Asset/Process,Risk Statement,Threat,Vulnerability,Existing Controls,Likelihood (1-5),Impact (1-5),Risk Score,Rating,Treatment Decision,Treatment Controls (ISO 27001:2022 Annex A),Risk Owner,Target Date,Treatment Status,Evidence IDs
R-001,CI/CD and GitHub repo,Uncontrolled change to main results in outage or security exposure,Unauthorised or unreviewed change,Weak change control and approvals,"PR workflow used; protected main",3,4,12,Medium,Reduce,"A.8.32; A.8.9; A.8.25; A.8.29",Platform/DevOps Lead,2026-03-07,Implemented partial,"EV-002; EV-004"
R-002,Dependencies and build pipeline,Vulnerable dependency exploited in production,External attacker exploits known CVE,Delayed patching and weak vuln process,"Dependabot enabled",4,4,16,High,Reduce,"A.8.8; A.8.32",Engineering Lead,2026-03-07,Implemented partial,"EV-003"
R-003,Cloud hosting configuration,Cloud misconfiguration exposes data or services,Accidental public exposure or insecure settings,Configuration drift and lack of cloud requirements,"Baseline configs informal",3,5,15,High,Reduce,"A.5.23; A.8.9; A.8.15; A.8.16",Platform/DevOps Lead,2026-03-07,Planned,
R-004,User authentication and admin access,Account takeover leads to data access and misuse,Credential stuffing or phishing,No MFA and weak auth controls,"Password policy informal",4,5,20,High,Reduce,"A.8.5; A.5.15",Security/GRC (Badr),2026-03-07,Planned,
R-005,Privileged accounts and admin consoles,Abuse of admin privileges causes data exposure or service disruption,Insider misuse or compromised admin,Over-privileged roles and weak privileged access control,"Access reviewed ad-hoc",3,4,12,Medium,Reduce,"A.8.2; A.5.15; A.8.15",Platform/DevOps Lead,2026-03-07,Planned,
R-006,Application authorisation,User accesses data beyond entitlement,Horizontal or vertical privilege escalation,Missing access restrictions at app and data layer,"Basic RBAC assumptions",3,4,12,Medium,Reduce,"A.8.3; A.5.15; A.8.26",Engineering Lead,2026-03-07,Planned,
R-007,Source code and repositories,Unauthorised code change introduces backdoor or data leak,Malicious commit or compromised developer account,Weak source code access governance,"Protected main; PR review",3,4,12,Medium,Reduce,"A.8.4; A.8.32; A.8.2",Engineering Lead,2026-03-07,Implemented partial,"EV-002; EV-004"
R-008,Logging and auditability,Security incident not detected or investigated due to missing logs,Stealthy attacker actions go unrecorded,Insufficient event logging and protection,"Some logs exist",3,4,12,Medium,Reduce,"A.8.15; A.8.16",Platform/DevOps Lead,2026-03-07,Planned,
R-009,Monitoring and alerting,Slow detection increases impact and downtime,Anomalies and attacks not observed,No defined monitoring coverage and alert thresholds,"Ad-hoc monitoring",3,4,12,Medium,Reduce,"A.8.16; A.8.15",Platform/DevOps Lead,2026-03-07,Planned,
R-010,Backups and restore,Data loss or prolonged outage due to failed recovery,Ransomware or accidental deletion,Backups not tested or incomplete,"Backups not formalised",3,5,15,High,Reduce,"A.8.13",Platform/DevOps Lead,2026-03-07,Planned,
R-011,Secure development lifecycle,Security requirements missed in features leading to vulnerabilities,Design flaws and insecure features,No formal app security requirements and SDLC rules,"Coding standards informal",3,4,12,Medium,Reduce,"A.8.25; A.8.26; A.8.28",Engineering Lead,2026-03-07,Planned,
R-012,Security testing,Known vulnerabilities ship to production,Exploitable bugs in releases,No defined security testing gates,"Manual checks ad-hoc",3,4,12,Medium,Reduce,"A.8.29; A.8.31; A.8.25",Engineering Lead,2026-03-07,Planned,
R-013,Suppliers and SaaS tools,Third-party compromise impacts CloudFin data,Vendor breach or insecure integrations,Weak supplier due diligence and cloud exit controls,"Vendor selection informal",3,4,12,Medium,Reduce,"A.5.19; A.5.21; A.5.23",Security/GRC (Badr),2026-03-07,Planned,
R-014,Remote working,Remote device compromise leads to credential theft,Malware or unsafe networks,No defined remote working controls and training,"Remote work common",3,3,9,Medium,Reduce,"A.6.7; A.6.3; A.8.5",Security/GRC (Badr),2026-03-07,Planned,
R-015,Incident management,Incident response is slow and inconsistent,Delayed containment and recovery,No defined incident planning and triage process,"Informal response",3,4,12,Medium,Reduce,"A.5.24; A.5.25; A.5.26; A.5.28; A.8.15",Security/GRC (Badr),2026-03-07,Planned,
